artist,score,author
Nicole Dollanganger,6.0,Quinn Moreland
Matt Ox,5.6,Trey Alston
Metro Boomin,7.7,Alphonse Pierre
Takeoff,7.7,Jonah Bromwich
Bob Dylan,8.5,Sam Sodomsky
1010 Benja SL,7.9,Kevin Lozano
Georgia Anne Muldrow,8.0,Dean Van Nguyen
Action Bronson,5.1,Phillip Mlynar
Brent Faiyaz  ,6.6,Margaret Farrell
The Prodigy,6.2,Ben Cardew
Pistol Annies,8.0,Mike Powell
Kelly Moran,7.6,Philip Sherburne
Dead Can Dance,7.3,Ben Cardew
Ian William Craig,7.9,Grayson Haver Currin
Missy Elliott,9.0,Judnick Mayard
"Ty Dolla $ign, Jeremih",7.7,Austin Brown
Metallica,9.3,Sean T. Collins
Ian Sweet,6.5,Nina Corcoran
Tasha,7.1,Vrinda Jagota
Vince Staples,8.2,Alphonse Pierre
Julia Holter,8.2,Jenn Pelly
Tory Lanez,5.0,Alphonse Pierre
Mr Twin Sister,7.0,Larry Fitzmaurice
Miya Folick  ,8.1,Margaret Farrell
R.E.M.,7.4,Chris Randle
Saves the Day,3.5,Arielle Gordon
Mr. Mitch,7.7,Ben Cardew
Nao,7.7,Eric Torres
Deerhoof,7.1,Sophie Kemp 
Joji,6.7,Braudie Blais-Billie
"Apollo Brown, Joell Ortiz",6.7,Dean Van Nguyen
Mick Jenkins,7.6,Dean Van Nguyen
Colin Self,8.0,Ruth Saxelby
"John Carpenter, Cody Carpenter, Daniel Davies",7.4,Jayson Greene
Anna St. Louis ,7.5,Grayson Haver Currin
Makaya McCraven,8.1,Nate Chinen
Unknown Mortal Orchestra,6.5,Andy Beta
SRSQ,6.9,Larry Fitzmaurice
Cosmic Analog Ensemble,7.7,Dean Van Nguyen
Lucinda Williams,9.5,Jenn Pelly
Thom Yorke,8.0,Philip Sherburne
Bruce,7.4,Andy Beta
Peter Bjorn and John,6.8,Larry Fitzmaurice
"Laraaji, Arji OceAnanda, Dallas Acid",7.6,Miles Bowe
boygenius,8.3,Dayna Evans
Geotic,6.7,Maggie Lange
Amerie,7.2,Maura Johnston
Joy Orbison,7.7,Philip Sherburne
Robyn,8.5,Stacey Anderson
"Future, Juice WRLD",6.3,Torii MacAdams
Queen,4.5,Stephen Thomas Erlewine
Candy,7.5,Kim Kelly
How to Dress Well,7.3,Claire Lobenfeld
Lil Yachty,6.1,Trey Alston
Will Oldham,7.1,Sam Sodomsky
Neneh Cherry,7.3,Alfred Soto
Greta Van Fleet,1.6,Jeremy D. Larson
Yoko Ono,6.3,Sasha Geffen
Helena Deland,7.8,Philip Sherburne
Weakened Friends,7.0,Nina Corcoran
Empress Of,6.3,Katherine St. Asaph
MØ,6.0,Dani Blum 
Eli Keszler,8.0,Miles Bowe
GØGGS,7.2,Stuart Berman
Talking Heads,10.0,Dan Brooks
David Bowie,7.1,Chris O’Leary
Kim Kashkashian,7.6,Jayson Greene
Young Jesus,8.1,Ian Cohen
Molly Burch,6.7,Vrinda Jagota
Cloud Nothings,7.6,Evan Rytlewski
Khalid,6.2,Alphonse Pierre
Cocteau Twins,8.0,Jesse Dorris
Calvin Johnson,7.8,Marc Masters
Quavo,5.9,Paul A. Thompson
"Usher, Zaytoven",6.7,Briana Younger
"Elvis Costello, The Imposters",8.0,Stephen Thomas Erlewine
Current 93,7.2,Calum Marsh
Matthew Dear,7.5,Philip Sherburne
The Dodos,6.4,Ian Cohen
Shy Glizzy,7.6,Sheldon Pearce
Yowler,7.6,Sasha Geffen
St. Vincent,7.2,Arielle Gordon
Petite Noir,7.8,Stephen Kearse
"William Basinski, Lawrence English",6.0,Brian Howe
Kero Kero Bonito,6.5,Margaret Farrell
Ella Mai,6.6,Owen Myers 
mewithoutYou,7.5,Brad Nelson
Connan Mockasin,6.7,Andy Beta
Colter Wall,7.6,Amanda Wicks
The B-52’s,9.0,Susan Elizabeth Shepard
Eric Church,7.6,Stephen Thomas Erlewine
Puce Mary,7.2,Daniel Martin-McCormick
GABI,7.0,Sasha Geffen
Ambrose Akinmusire,7.6,Seth Colter Walls
Kurt Vile,7.0,Sam Sodomsky
Adrianne Lenker,8.0,Jayson Greene
Windhand,7.9,Grayson Haver Currin
David Nance Group,7.7,Stuart Berman
Bikini Kill,10.0,Jenn Pelly
"Lil Baby, Gunna",7.6,Alphonse Pierre
