artist,score,author
Cheveu,6.6,Evan Minsker
Gardens & Villa,6.2,Ian Cohen
Have a Nice Life,7.8,Jason Heller
Mark McGuire,7.9,Grayson Haver Currin
Woodsman,6.7,Colin St. John
"Sunn O))), Ulver",6.9,Grayson Haver Currin
Jerome LOL,7.5,Jonah Bromwich
Mas Ysa,7.8,Brian Howe
Xiu Xiu,6.6,Ian Cohen
Aa,6.7,Stuart Berman
DJ Dog Dick,6.9,Marc Masters
Aztec Camera,8.3,Jason Heller
Bombay Bicycle Club,7.7,Ian Cohen
Broken Bells,5.4,Larry Fitzmaurice
CYMBALS,7.1,Jeremy Gordon
Bohren & Der Club of Gore,7.3,Mike Powell
Lost in the Trees,7.0,Brian Howe
Snowbird,6.9,Ned Raggett
Sun Kil Moon,9.2,Ian Cohen
Julie Byrne,7.4,Jayson Greene
David First,7.0,Marc Masters
Ty Dolla $ign,7.6,Craig Jenkins
Maximo Park,6.1,Jeremy Gordon
CEO,7.5,Marc Hogan
Jess Williamson,7.4,Lindsay Zoladz
Tink,7.6,Kyle Kramer
Quilt,7.0,Steven Hyden
Uncle Tupelo,8.4,Amanda Petrusich
Gem Club,7.1,Jamieson Cox
Stefan Jaworzyn,6.5,Marc Masters
Supreme Cuts,4.2,Jordan Sargent
Bibio,6.0,Brian Howe
Lambchop,8.3,Mike Powell
Demilich,8.0,Hank Shteamer
Cashmere Cat,5.9,Nate Patrin
Pontiak,6.0,Paul Thompson
Actress,6.7,Andrew Gaerig
Four Tet,6.0,Nick Neyland
Argentinum Astrum,6.5,Kim Kelly
Morgan Delt,7.6,Jeremy Gordon
Hospitality,7.5,Jillian Mapes
Cities Aviv,7.3,David Turner
Dum Dum Girls,7.4,Jayson Greene
Step Brothers,7.3,Jonah Bromwich
Drowners,5.8,Ian Cohen
Tara Jane O’Neil,7.9,Paul Thompson
Jeremy Jay,5.5,Jayson Greene
Against Me!,7.5,Jeremy D. Larson
Michael Yonkers,6.1,Jason Heller
Indian,8.2,Grayson Haver Currin
Damien Jurado,7.6,Joel Oliphint
Nils Frahm,7.8,Nick Neyland
Bill Callahan,7.3,Mark Richardson
Shy Boys,7.1,Paul Thompson
Vex,7.4,Jason Heller
Jack Name,7.0,Evan Minsker
Nick Drake,8.5,Jayson Greene
Warpaint,5.7,Ian Cohen
Graze,7.2,Tim Finney
Alcest,6.6,Jason Heller
Doug Paisley,7.5,Steven Hyden
James Vincent McMorrow,7.1,Kyle Kramer
Thee Silver Mt. Zion Memorial Orchestra,8.0,Stuart Berman
Guerilla Toss,6.0,Zach Kelly
Pangaea,7.7,Gabriel Szatan
The John Lurie National Orchestra,7.5,Marc Masters
Mogwai,6.0,Nick Neyland
Lee Bannon,6.8,Andrew Gaerig
Big Ups,7.0,Paul Thompson
I Break Horses,5.9,Ian Cohen
Mark Lanegan,7.5,Stuart Berman
Hiss Golden Messenger,8.2,Stephen M. Deusner
Nina Kraviz,4.5,Gabriel Szatan
Audion,7.1,Andrew Gaerig
Gucci Mane,5.6,Corban Goble
You Blew It!,7.6,Steven Hyden
The Velvet Underground,10.0,Douglas Wolk
Fabolous,6.2,Zach Kelly
The Lucksmiths,7.4,Douglas Wolk
Peter Morén,5.8,Jeremy D. Larson
Kool A.D.,6.6,Ian Cohen
Sharon Jones and the Dap-Kings,7.7,Nate Patrin
The Gories,7.0,Jason Heller
Painted Palms,5.7,Paul Thompson
Del Tha Funkee Homosapien,7.4,Nate Patrin
Cybotron,8.7,Miles Raymer
Disclosure,5.9,Jordan Sargent
Lanterns on the Lake,6.2,Ian Cohen
Blank Realm,8.0,Marc Masters
Roc Marciano,6.8,Renato Pagnani
Ariel Pink,4.4,Andy Beta
Bruce Springsteen,4.0,Stephen M. Deusner
Sick Thoughts,7.7,Evan Minsker
Big Business,8.0,Grayson Haver Currin
Self Defense Family,7.2,Jason Heller
Angel Haze,5.9,Lindsay Zoladz
Pixies,2.0,Jayson Greene
Dudley Perkins,5.8,Jonah Bromwich
Magic Trick,6.3,Evan Minsker
Luciano Cilio,8.4,Andy Beta
Mouse on Mars,7.9,Larry Fitzmaurice
"Busta Rhymes, Q-Tip",6.6,Craig Jenkins
Way Through,7.4,Sam Hockley-Smith
Ukkonen,6.9,Gabriel Szatan
Harold Budd,7.8,Mike Powell
King L,6.7,Jordan Sargent
Clams Casino,7.2,Larry Fitzmaurice
Barnett + Coloccia,6.8,Grayson Haver Currin
Justus Köhncke,6.5,Mark Pytlik
Stephen Malkmus and the Jicks,7.0,Mike Powell
The Verlaines,7.6,Nick Neyland
Kerridge,6.7,Nick Neyland
Drexciya,7.9,Andy Beta
E-40,7.5,Jayson Greene
Beyoncé,8.8,Carrie Battan
Saâda Bonaire,7.4,Andy Beta
Bryce Hackford,7.0,Nick Neyland
Lumbar,7.7,Grayson Currin
The Thing,7.7,Aaron Leitko
Burial,9.0,Larry Fitzmaurice
Zachary Cale,7.9,Jayson Greene
Vastum,7.9,Andy O'Connor
Ian Isiah,6.6,Andrew Ryce
The Fall,6.9,Stuart Berman
Childish Gambino,5.8,Craig Jenkins
Ævangelist,7.0,Kim Kelly
Ron Morelli,6.2,Andrew Gaerig
Patrick Cowley,8.3,Tim Finney
Xiu Xiu,4.7,Mark Richardson
Neil Young,7.7,Rob Mitchum
Bjørn Torske,6.5,Brian Howe
Robert Beatty,6.9,Marc Masters
David Novick,7.1,Jayson Greene
R. Kelly,6.8,Jordan Sargent
"Don Trip, Starlito",7.7,Jayson Greene
Inquisition,8.1,Kim Kelly
Gardland,6.3,Nick Neyland
Robert Pollard,5.7,Paul Thompson
7 Days of Funk,7.0,Nate Patrin
Bloodyminded,7.5,Grayson Currin
Noveller,7.2,Marc Masters
Iron Chic,7.9,Ian Cohen
Mastodon,7.6,Paul Thompson
Physical Therapy,5.9,Andrew Gaerig
patten,6.9,Angus Finlayson
Ejecta,7.0,Jeremy Gordon
Rhys Chatham,7.5,Jayson Greene
Bright Eyes,7.0,Ian Cohen
Vaura,7.5,Grayson Currin
Heatsick,6.8,Andy Beta
Kallisti,6.7,Larry Fitzmaurice
Francis and the Lights,7.0,Corban Goble
bEEdEEgEE,6.8,Nick Neyland
Capsule,6.1,Patrick St. Michel
Mike Donovan,6.4,Evan Minsker
Emily Jane White,6.6,Stephen M. Deusner
"Flume, Chet Faker",7.0,Harley Brown
Black Flag,4.9,Hank Shteamer
Perera Elsewhere,7.8,Andrew Ryce
Guido,6.3,Gabriel Szatan
Kevin Morby,7.0,Jeremy Gordon
Phill Niblock,7.4,Marc Masters
Nick Cave & the Bad Seeds,7.8,Stuart Berman
CREEP,6.0,Nick Neyland
Beachwood Sparks,5.0,Stephen M. Deusner
Shearwater,5.8,Ian Cohen
Raum,7.9,Jenn Pelly
Thee Oh Sees,7.8,Jayson Greene
Hellfyre Club,7.5,Craig Jenkins
Teengirl Fantasy,6.7,Zach Kelly
Gap Dream,6.7,Ian Cohen
Mick Turner,7.8,Stephen M. Deusner
Milosh,6.0,Eric Harvey
Jensen Sportag,6.7,Miles Raymer
Egyptrixx,7.8,Ruth Saxelby
Sebastien Grainger,3.9,Ian Cohen
Destroyer,7.9,Stuart Berman
Jhené Aiko,6.1,Jordan Sargent
Title Fight,7.2,Ian Cohen
"Okkyung Lee, C. Spencer Yeh, Lasse Marhaug",7.2,Marc Masters
Tindersticks,7.4,Nick Neyland
Willie Burns,7.4,Gabriel Szatan
Ricardo Donoso,7.2,Marc Masters
Logos,8.1,Angus Finlayson
Russian Circles,7.8,Brandon Stosuy
The Killers,6.4,Ian Cohen
Vatican Shadow,6.3,Grayson Currin
Fins,7.5,Jayson Greene
Anna Calvi,6.6,Katherine St. Asaph
Excepter,6.9,Marc Masters
Soundgarden,6.7,Jason Heller
Skeletonwitch,7.5,Grayson Currin
Minor Alps,4.9,Joel Oliphint
The Stranger,7.6,Nick Neyland
Andrew Bird,6.5,Stephen M. Deusner
Death Grips,8.4,Ian Cohen
Future of the Left,7.4,Jake Cleland
Fis,7.7,Angus Finlayson
Magik Markers,7.9,Jeremy D. Larson
"Kurt Vile, Sore Eros",5.4,Jayson Greene
Whores,6.4,Andy O'Connor
Cate Le Bon,7.3,Jeremy D. Larson
Wooden Shjips,6.5,Stuart Berman
Throwing Muses,8.0,Katherine St. Asaph
John Talabot,7.9,Larry Fitzmaurice
Boogarins,7.1,Jayson Greene
Brad Laner,6.3,Miles Raymer
Yamantaka // Sonic Titan,7.8,Joe Tangari
The Beatles,7.2,Stuart Berman
Skin Town,7.4,Andrew Ryce
Gatekeeper,6.4,Nick Neyland
Poliça,7.5,Katherine St. Asaph
Blood Orange,8.5,Ryan Dombal
Jonwayne,6.0,Kyle Kramer
No Joy,7.6,Jamieson Cox
Tennis,7.0,Jillian Mapes
Moonface,7.7,Paul Thompson
Songs: Ohia,9.0,Jason Heller
Musiccargo,7.2,Andy Beta
Connan Mockasin,6.7,Evan Minsker
Luke Temple,6.5,Paul Thompson
Mount Eerie,7.2,Jeremy D. Larson
Grizzly Bear,7.4,Lindsay Zoladz
Luscious Jackson,5.6,Douglas Wolk
William Onyeabor,8.6,Andy Beta
"Kronos Quartet, Bryce Dessner",7.9,Jayson Greene
Gesaffelstein,7.8,Jamieson Cox
Swans,8.2,Stuart Berman
Latyrx,4.8,Nate Patrin
Nguzunguzu,7.0,Miles Raymer
Matana Roberts,8.1,Grayson Currin
Sébastien Tellier,6.3,Miles Raymer
"Action Bronson, Party Supplies",8.0,Jordan Sargent
Wooden Wand & The World War IV,7.2,Marc Masters
"Boldy James, The Alchemist",7.4,Jayson Greene
Yvette,8.1,Stuart Berman
Death Cab for Cutie,8.4,Ian Cohen
Eminem,4.7,Craig Jenkins
Sapphire Slows,7.0,Patrick St. Michel
Widowspeak,7.4,Harley Brown
James Ferraro,6.6,Miles Raymer
MellowHigh,6.8,Kyle Kramer
M.I.A.,6.5,Lindsay Zoladz
Midlake,6.0,Ian Cohen
Doley Bernays,7.0,Jayson Greene
Swearin’,7.6,Devon Maloney
The Beta Band,8.4,Stuart Berman
Cut Copy,6.4,Ian Cohen
Miracle,6.7,Andrew Ryce
Yancey Boys,7.3,Jonah Bromwich
Circuit Des Yeux,7.2,Marc Masters
Active Child,5.6,Ian Cohen
The Range,8.2,Mike Powell
Oozing Wound,7.4,Andy O'Connor
Black Devil Disco Club,4.6,Nate Patrin
Matt Kivel,8.0,Jayson Greene
Laurel Halo,7.4,Andrew Gaerig
The Flaming Lips,7.3,Stuart Berman
Gnaw,7.4,Grayson Currin
Upset,7.2,Devon Maloney
Son Lux,6.6,Jeremy D. Larson
Los Campesinos!,8.0,Ian Cohen
Sky Ferreira,8.1,Carrie Battan
Atlantean Kodex,8.0,Kim Kelly
Paavoharju,7.1,Matthew Murphy
Audacity,6.0,Devon Maloney
Autechre,6.4,Nick Neyland
Arcade Fire,9.2,Lindsay Zoladz
Castevet,8.1,Grayson Currin
Dosh,6.6,Grayson Currin
Unwound,8.0,Brandon Stosuy
Omar Souleyman,7.2,Miles Raymer
Mutual Benefit,8.4,Ian Cohen
Doomriders,5.8,Andy O'Connor
Boardwalk,4.8,Harley Brown
Special Request,8.1,Larry Fitzmaurice
Kwes,6.3,Jonah Bromwich
Ryan Hemsworth,7.4,Miles Raymer
Red Fang,5.0,Grayson Currin
Daniel Avery,7.2,Andrew Gaerig
Happy Jawbone Family Band,7.4,Evan Minsker
Matthew E. White,7.7,Stephen M. Deusner
Juana Molina,7.3,Nick Neyland
Earthless,7.2,Grayson Currin
Livity Sound,8.1,Andrew Gaerig
Ducktails,7.0,Jeremy Gordon
Black Milk,7.3,Jayson Greene
DJ Rashad,8.6,Larry Fitzmaurice
SubRosa,8.3,Grayson Currin
CFCF,6.7,Zach Kelly
Dead Gaze,7.1,Jeremy Gordon
Motörhead,7.6,Hank Shteamer
Best Coast,7.4,Carrie Battan
Deco,7.3,Nate Patrin
Schneider TM,6.4,Nick Neyland
Pelican,7.2,Colin St. John
Cass McCombs,7.9,Eric Harvey
Kelela,8.3,Miles Raymer
Cave,7.3,Aaron Leitko
School of Night,5.5,Ian Cohen
Courtney Barnett,7.8,Lindsay Zoladz
Bonnie “Prince” Billy,7.8,Marc Masters
Four Tet,7.4,Andrew Gaerig
Leverage Models,8.2,Grayson Currin
Summer Camp,4.8,Zach Kelly
Crystal Antlers,7.1,Jeremy D. Larson
Paul McCartney,7.8,Miles Raymer
The Dismemberment Plan,4.5,Paul Thompson
The Body,7.0,Grayson Currin
Frog Eyes,6.9,Devon Maloney
Hoax,8.1,Jenn Pelly
Pearl Jam,5.0,Stuart Berman
Tim Hecker,8.3,Mike Powell
Bill Orcutt,7.8,Marc Masters
The Men,6.5,Ian Cohen
Dean Wareham,7.8,Jeremy D. Larson
Cults,6.8,Marc Hogan
In Solitude,7.1,Andy O'Connor
The Dirtbombs,5.7,Douglas Wolk
Of Montreal,7.4,Stephen M. Deusner
Diplo,5.7,Larry Fitzmaurice
Into It. Over It.,7.1,Ian Cohen
Elf Power,5.5,Paul Thompson
Sons of the Morning,6.4,Nate Patrin
Lee Ranaldo and the Dust,5.5,Colin St. John
Glasser,7.8,Marc Hogan
Hunters,4.9,Ian Cohen
Tape Deck Mountain,6.0,Paul Thompson
Albert Hammond Jr.,6.8,Stuart Berman
Le1f,7.7,Miles Raymer
Pusha-T,8.0,Craig Jenkins
Yuppies,7.4,Jayson Greene
Steve Hauschildt,7.5,Marc Masters
Brendan Canning,6.7,Jamieson Cox
Alex Chilton,8.1,Douglas Wolk
Sleigh Bells,5.9,Lindsay Zoladz
Roy Harper,7.0,Jason Heller
Trentemøller,6.4,Puja Patel
RJD2,7.7,Nate Patrin
Polvo,8.3,Stuart Berman
Darkside,9.0,Ian Cohen
Forest Fire,7.3,Joel Oliphint
Quasi,6.0,Nick Neyland
The Blow,7.2,Devon Maloney
Touché Amoré,8.0,Ian Cohen
Oneohtrix Point Never,8.4,Mark Richardson
Kelley Stoltz,6.8,Evan Minsker
Blitzen Trapper,6.7,Harley Brown
Lorde,7.3,Lindsay Zoladz
Parkay Quarts,7.5,Jeremy D. Larson
Danny Brown,8.7,Jayson Greene
Cuushe,7.0,Patrick St. Michel
Connections,7.4,Paul Thompson
The Foreign Exchange,6.5,Kyle Kramer
Deltron 3030,5.7,Nate Patrin
The Field,8.7,Larry Fitzmaurice
Pinkish Black,7.2,Andy O'Connor
Melt-Banana,7.8,Jason Heller
Yuck,6.1,Ian Cohen
Machinedrum,7.8,Nate Patrin
Justin Timberlake,4.5,Ryan Dombal
Youth Code,7.2,Zach Kelly
San Fermin,7.4,Jeremy D. Larson
Dr. Dog,5.4,Harley Brown
Fuzz,7.3,Evan Minsker
Haim,8.3,Larry Fitzmaurice
Loss of Self,6.0,Kim Kelly
Traxman,7.3,Andrew Gaerig
Dustin Wong,6.8,Nick Neyland
Au Revoir Simone,7.3,Brian Howe
Mazzy Star,7.8,Mark Richardson
Ulcerate,7.7,Andy O'Connor
Ghost Wave,6.4,Jeremy Larson
Girls Against Boys,7.0,Stuart Berman
Jesu,6.8,Jason Heller
Icona Pop,7.5,Lindsay Zoladz
Windhand,7.0,Grayson Currin
Blouse,7.0,Lindsay Zoladz
Potty Mouth,7.8,Jenn Pelly
WHY?,3.0,Jayson Greene
Chvrches,8.5,Larry Fitzmaurice
The Internet,6.4,Renato Pagnani
Grave Miasma,8.0,Kim Kelly
Arp,7.0,Nick Neyland
Peter Gabriel,4.9,Stephen M. Deusner
Nirvana,10.0,Stuart Berman
Fort Romeau,6.7,Jamieson Cox
Huerco S.,7.9,Ruth Saxelby
Ariana Grande,6.5,Andrew Ryce
Frankie Rose,6.4,Ian Cohen
Drake,8.6,Jayson Greene
Rashad Becker,7.4,Marc Masters
Craig Leon,8.0,Andy Beta
G-Dragon,6.1,Corban Goble
Yoko Ono Plastic Ono Band,7.0,Nick Neyland
Sebadoh,6.0,Brandon Stosuy
Kyson,6.5,Andrew Ryce
Carol Kleyn,7.2,Matthew Murphy
Mark Lanegan,6.6,Jason Heller
"Elvis Costello, The Roots",6.5,Jayson Greene
FKA twigs,8.0,Nick Neyland
Keep Shelly in Athens,6.0,Ian Cohen
Royal Bangs,5.9,Paul Thompson
The Dead C,8.4,Grayson Currin
2 Chainz,6.2,Kyle Kramer
Holy Ghost!,6.3,Nate Patrin
Celestial Shore,5.8,Patrick Bowman
London Grammar,7.1,Renato Pagnani
Crystal Stilts,6.3,Jeremy D. Larson
Modern Life Is War,7.9,Ian Cohen
Bill Callahan,8.5,Lindsay Zoladz
LAKE,6.2,Zach Kelly
Clark,7.6,Ruth Saxelby
Daedelus,5.7,Jonah Bromwich
Islands,6.4,Devon Maloney
MGMT,6.2,Ian Cohen
Jacuzzi Boys,5.9,Evan Minsker
Balance and Composure,6.6,Ian Cohen
Joanna Gruesome,7.4,Paul Thompson
Delorean,7.4,Andrew Gaerig
Factory Floor,8.2,Andy Beta
J-Zone,7.5,Nate Patrin
Jessy Lanza,7.3,Jamieson Cox
The 1975,5.9,Jayson Greene
Willis Earl Beal,7.2,Mike Powell
Goldfrapp,6.1,Andrew Ryce
Terry Malts,6.1,Paul Thompson
Carcass,7.9,Hank Shteamer
Grooms,7.0,Jayson Greene
Lil Wayne,5.1,Corban Goble
Arctic Monkeys,8.0,Ryan Dombal
Emily Reo,7.0,Harley Brown
Elizabeth Morris,7.5,Marc Hogan
Man Man,6.4,Ian Cohen
Body/Head,7.7,Marc Masters
Janelle Monáe,8.3,Jayson Greene
The Stepkids,7.3,Jonah Bromwich
Múm,5.7,Brian Howe
Goodie Mob,6.8,Craig Jenkins
Califone,7.3,Steven Hyden
The Weeknd,6.2,Ian Cohen
Jackson and His Computerband,4.2,Nate Patrin
The Howling Wind,7.5,Grayson Currin
Richard Youngs,6.8,Brian Howe
Chelsea Wolfe,8.0,Jenn Pelly
Pixies,1.0,Jayson Greene
Pink Frost,6.8,Jeremy Gordon
Coachwhips,7.9,Jason Heller
Jonathan Rado,6.2,Steven Hyden
The Julie Ruin,7.0,Katherine St. Asaph
Neko Case,8.2,Lindsay Zoladz
Vattnet Viskar,8.0,Jayson Greene
Richard Buckner,7.7,Brian Howe
Roky Erickson,8.5,Jason Heller
King Khan and the Shrines,6.8,Stuart Berman
Volcano Choir,7.8,Ian Cohen
Wolfgang Voigt,4.4,Andrew Gaerig
Holograms,7.1,Jeremy D. Larson
John Wizards,7.4,Mike Powell
Okkervil River,6.8,Stephen M. Deusner
Nine Inch Nails,7.0,Stuart Berman
Vasaeleth,7.0,Kim Kelly
Golden Suits,6.0,Paul Thompson
Marcos Cabral,6.5,Andy Beta
Icarus Line,6.9,Zach Kelly
Bob Dylan,8.7,Mark Richardson
Venom P. Stinger,7.3,Marc Masters
Modern Hut,4.0,Paul Thompson
Vieux Farka Touré,8.0,Joe Tangari
Sly and the Family Stone,9.0,Nate Patrin
King Krule,7.3,Jayson Greene
Pity Sex,7.0,Ian Cohen
Shigeto,6.4,Jonah Bromwich
Party Supplies,7.4,Miles Raymer
Belle and Sebastian,7.2,Stuart Berman
M. Geddes Gengras,6.8,Nick Neyland
Disappears,7.3,Jeremy D. Larson
Flaamingos,5.9,Paul Thompson
The Dodos,6.8,Ian Cohen
Forest Swords,8.5,Marc Masters
Lycia,7.8,Andy O'Connor
Bent Shapes,7.0,Devon Maloney
Gorguts,8.2,Hank Shteamer
Dent May,6.2,Jeremy D. Larson
Franz Ferdinand,5.4,Ian Cohen
Exhumed,7.5,Kim Kelly
DIANA,7.0,Renato Pagnani
Crocodiles,6.9,Stuart Berman
Julianna Barwick,8.5,Lindsay Zoladz
Still Life Still,6.6,Jamieson Cox
R. Stevie Moore,7.3,Marc Masters
Laura Veirs,7.4,Brian Howe
Anna Meredith,7.6,Brian Howe
A$AP Ferg,7.5,Corban Goble
Roach Gigz,7.1,Jayson Greene
White Hills,6.2,Jason Heller
The World Is a Beautiful Place & I Am No Longer Afraid to Die,7.8,Ian Cohen
Destruction Unit,7.4,Jason Heller
Ty Segall,8.2,Evan Minsker
Watain,6.7,Grayson Currin
Jeremiah Jae,5.6,Jonah Bromwich
Chastity Belt,7.5,Jayson Greene
Illangelo,5.9,Miles Raymer
No Age,6.2,Ian Cohen
Danny Paul Grody,7.2,Marc Masters
Ildjarn,5.5,Kim Kelly
Diarrhea Planet,6.9,Jayson Greene
Porcelain Raft,5.8,Ian Cohen
Earl Sweatshirt,8.3,Craig Jenkins
The Delta Mirror,5.6,Zach Kelly
Slow Walkers,6.8,Nick Neyland
Bitchin Bajas,7.6,Jayson Greene
Braids,7.1,Ian Cohen
Julia Holter,8.6,Lindsay Zoladz
Jonwayne,6.9,Jonah Bromwich
Surf City,6.6,Stuart Berman
Gogol Bordello,6.4,Paul Thompson
Robbie Basho,8.7,Grayson Haver Currin
Zola Jesus,7.6,Jenn Pelly
Pure Bathing Culture,6.8,Ian Cohen
Billy Woods,7.8,Nate Patrin
Sampha,7.4,Zach Kelly
Superchunk,7.8,Brandon Stosuy
The Horse's Ha,7.5,Ned Raggett
Bare Mutants,5.5,Jason Heller
Lustmord,7.7,Grayson Haver Currin
Medicine,7.2,Miles Raymer
"Mark Kozelek, Desertshore",7.9,Stephen M. Deusner
Ras G,7.8,Miles Raymer
dBridge,6.6,Nate Patrin
Rudimental,6.4,Jamieson Cox
The Bug,6.5,Nate Patrin
Washed Out,7.4,Ian Cohen
Missing Monuments,6.4,Jason Heller
The Belle Game,7.2,Ian Cohen
Edward Sharpe & the Magnetic Zeros,4.5,Paul Thompson
"Dâm-Funk, Steve Arrington",7.3,Nate Patrin
Raspberry Bulbs,8.1,Grayson Haver Currin
Yellow Eyes,7.6,Kim Kelly
Homeboy Sandman,7.2,Jonah Bromwich
"Pete Rock, Camp Lo",6.8,Miles Raymer
The Clean,8.4,Ned Raggett
Bloc Party,5.2,Ian Cohen
Pop. 1280,6.7,Stuart Berman
Pond,5.9,Ian Cohen
µ-Ziq,8.0,Miles Raymer
"Prodigy, The Alchemist",8.2,Nate Patrin
Default Genders,6.6,Mark Richardson
Ken Camden,6.2,Nick Neyland
Honey Ltd.,5.9,Stephen M. Deusner
Dawn of Midi,7.9,Jeremy D. Larson
Eric Copeland,7.1,Nick Neyland
Ultraísta,6.8,Stuart Berman
Lycus,7.9,Kim Kelly
"Sarah Lee Guthrie, Johnny Irion",4.5,Stephen M. Deusner
Minks,5.9,Harley Brown
Annie,7.6,Katherine St. Asaph
"Explosions in the Sky, David Wingo",6.5,Brian Howe
Wrekmeister Harmonies,7.9,Grayson Currin
Lesbian,5.0,Grayson Currin
Soft Metals,6.0,Patrick Bowman
Kyary Pamyu Pamyu,6.6,Miles Raymer
Loftus,8.4,Mark Richardson
Mouth of the Architect,8.2,Grayson Currin
Helen Marnie,6.3,Katherine St. Asaph
Moderat,7.4,Miles Raymer
Morne,6.0,Grayson Currin
Raffertie,6.2,Andrew Ryce
True Widow,7.2,Nick Neyland
PARTYNEXTDOOR,6.9,Craig Jenkins
The Cairo Gang,5.6,Paul Thompson
Crash of Rhinos,8.1,Ian Cohen
Ka,8.0,Nate Patrin
Whirr,6.2,Ian Cohen
Mammoth Grinder,7.3,Kim Kelly
The Love Language,7.5,Patrick Bowman
Grant Hart,8.0,Stuart Berman
Baroness,7.0,Grayson Currin
Chance,7.7,Stuart Berman
Nylo,6.6,Kyle Kramer
Clap Your Hands Say Yeah,4.0,Ian Cohen
AlunaGeorge,7.6,Carrie Battan
Ikonika,6.5,Nate Patrin
RL Grime,6.8,Puja Patel
Taragana Pyjarama,6.0,Brian Howe
Twin Peaks,7.1,Jayson Greene
Future Bible Heroes,6.3,Marc Hogan
Kevin Gates,7.6,Craig Jenkins
Valient Thorr,7.6,Grayson Currin
Nobody,6.6,Nate Patrin
Nadine Shah,7.9,Jessica Hopper
Lightning Dust,5.5,Patrick Bowman
Weekend,6.9,Zach Kelly
Salvia Plath,6.4,Nick Neyland
Locrian,8.0,Grayson Haver Currin
Palms,6.5,Ian Cohen
Hunx and His Punx,7.4,Evan Minsker
Jackson Scott,7.7,Steven Hyden
Dunkelziffer,6.8,Andy Beta
Hospital Ships,6.6,Jayson Greene
The Memories,5.8,Evan Minsker
Pet Shop Boys,7.0,Douglas Wolk
The Mountain Goats,9.0,Lindsay Zoladz
Okkyung Lee,7.5,Marc Masters
Man's Gin,6.1,Grayson Currin
Roedelius Schneider,6.4,Nick Neyland
µ-Ziq,7.1,Angus Finlayson
Fuck Buttons,8.7,Jayson Greene
Amon Amarth,5.6,Grayson Currin
Iasos,7.4,Aaron Leitko
David Yow,6.5,Nick Neyland
Mark Mulcahy,7.7,Ned Raggett
The Smashing Pumpkins,7.0,Ian Cohen
Hatred Surge,7.5,Andy O'Connor
Alela Diane,7.3,Steven Hyden
Ty Dolla $ign,6.7,Craig Jenkins
Mayer Hawthorne,7.1,Nate Patrin
William Basinski,7.5,Nick Neyland
Hebronix,6.7,Ian Cohen
Gauntlet Hair,6.8,Stuart Berman
Slum Village,5.5,Mike Madden
Andy Kaufman,7.2,Ryan Dombal
Ghost Outfit,6.4,Ian Cohen
Natasha Kmeto,6.8,Katherine St. Asaph
Andrew Cedermark,7.2,Ian Cohen
Big Star,8.0,Jessica Hopper
Alex Burkat,6.6,Nick Neyland
Young Moe,7.4,Jayson Greene
CFCF,7.3,Zach Kelly
Devo,8.6,Andy Beta
David Lynch,6.3,Mark Richardson
Summoning,6.9,Kim Kelly
Steve Gunn,7.9,Amanda Petrusich
Bass Drum of Death,5.9,Evan Minsker
Joey Bada$$,6.8,Corban Goble
Speedy Ortiz,8.4,Lindsay Zoladz
Calexico,6.8,Stephen M. Deusner
Jason Isbell,7.7,Stephen M. Deusner
Kirin J Callinan,7.4,Ian Cohen
Röyksopp,7.4,Ned Raggett
Ciara,7.3,Tim Finney
Melt Yourself Down,6.4,Brian Howe
"Keith Fullerton Whitman, Floris Vanhoof",6.8,Nick Neyland
Blondes,7.9,Tim Finney
Freddie Gibbs,6.9,Jonah Bromwich
Daughn Gibson,6.3,Ian Cohen
Ruby Pins,7.0,Liz Pelly
People of the North,6.5,Nick Neyland
oOoOO,6.7,Puja Patel
Robert Pollard,7.4,Stephen M. Deusner
AraabMuzik,7.2,Nate Patrin
Daniel Wohl,7.9,Jayson Greene
Jan St. Werner,6.7,Nick Neyland
Carl Craig,7.3,Miles Raymer
New Order,6.4,Nick Neyland
JAY-Z,5.8,Ian Cohen
Katie Got Bandz,5.5,Carrie Battan
The-Drum,7.5,Miles Raymer
Migos,7.4,Craig Jenkins
Townes Van Zandt,8.8,Stephen M. Deusner
James Holden,8.2,Andrew Gaerig
TNT Subhead,7.3,Andy Beta
Knx,7.6,Jonah Bromwich
CSS,5.0,Puja Patel
Airhead,7.0,Mike Powell
Run the Jewels,8.5,Nate Patrin
Hailu Mergia,7.4,Joe Tangari
Power Trip,8.0,Brandon Stosuy
Iamsu!,7.5,Jayson Greene
Beady Eye,5.8,Steven Hyden
Daftside,7.2,Nick Neyland
Noisem,7.6,Miles Raymer
Spectrals,6.5,Jamieson Cox
Matias Aguayo,5.9,Andrew Gaerig
The Ex & Brass Unbound,8.1,Douglas Wolk
Wale,5.1,Miles Raymer
Integrity,6.7,Grayson Currin
Noah and the Whale,5.0,Dean Van Nguyen
Matthew Herbert,7.1,Nick Neyland
Mavis Staples,7.4,Stephen M. Deusner
Austra,7.2,Katherine St. Asaph
Roomrunner,7.4,Jeremy D. Larson
Serengeti,7.8,Nate Patrin
Mick Harvey,6.8,Jason Heller
High on Fire,5.9,Andy O'Connor
Digable Planets,9.2,Mark Richardson
Gunplay,6.9,Miles Raymer
Stellar OM Source,7.9,Angus Finlayson
Candy Claws,7.6,Ian Cohen
Public Image Ltd,9.0,Stuart Berman
Mac Miller,7.0,Craig Jenkins
